vpredmean_IDN,ups,retstd_NSN,retmean_IDN,advstd_IDN,vpredstd_NSN,advmean_NSN,advmean_IDN,loss,rew_mean_IDN,eplen,vpredmean_NSN,vfn_loss,idn_pg_loss,n_updates,eprew_recent,tps,advstd_NSN,ext_reward,retstd_IDN,epcount,retmean_NSN,rew_mean_NSN,metric,ext_reward_std,total_secs,vpredstd_IDN,eprew,best_ext_ret,tcount
-12.053047,18.817060641815353,0.48784566,-20.775143,4.290831,0.21823947,0.21810696,-8.7220955,1.754750738541285,-1.473602,7.34,3.060378,45.12060864766438,0.00018622136364380504,62,0.4166666666666667,9634.33504860946,0.5323812,0.0625,4.1476464,4820.0,3.278485,0.0625,1.4736019968986511,0.24206146597862246,3.3433730602264404,0.90587026,0.43,1.0,31569.0
-12.678545,18.788569995117296,0.4984899,-20.847404,4.3958325,0.23150681,0.33779603,-8.16886,1.6809657712777455,-1.4245803,6.89,3.296063,41.080027262369796,-0.0005724839866161346,63,0.4819277108433735,9619.747837500056,0.55805504,0.08203125,4.1538563,4903.0,3.6338592,0.08203125,1.4245802561442056,0.2744123339653015,3.396596908569336,0.9362557,0.48,1.0,32136.0
-13.2706785,18.885349830926685,0.5193967,-21.415394,4.100259,0.24184081,0.34164062,-8.144714,1.6309011975924175,-1.4004352,6.77,3.5812435,39.61566352844238,0.001968384409944216,64,0.5882352941176471,9669.299113434463,0.5689707,0.08593749999999999,3.8737364,4971.0,3.9228842,0.0859375,1.4004352788130443,0.2802717387676239,3.4495480060577393,0.9409469,0.57,1.0,32587.0
-13.781769,19.58792679110995,0.48195687,-22.001911,4.1458187,0.25941125,0.26758566,-8.220143,1.6906383037567139,-1.3938165,7.56,3.8816636,40.310429890950516,-0.0020732445021470368,65,0.5538461538461539,10029.018517048295,0.5277103,0.072265625,4.019572,5036.0,4.149249,0.072265625,1.393816500902176,0.25892722606658936,3.5005998611450195,0.9617857,0.58,1.0,33112.0
-14.520004,18.890027833073617,0.59448415,-21.755083,3.94876,0.26986578,0.2607511,-7.235079,1.5623121162255609,-1.3135004,7.8,4.2080383,32.2409397761027,-0.00040061896046002937,66,0.5714285714285714,9671.694250533692,0.65495557,0.087890625,3.6733007,5106.0,4.468789,0.087890625,1.3135003944238026,0.2831357717514038,3.5535378456115723,0.9719929,0.57,1.0,33643.0
-15.145639,19.160034534898063,0.5029263,-22.435072,3.7068958,0.27563196,0.4367627,-7.2894316,1.4721067448457081,-1.2701131,7.14,4.491205,31.68303044637045,-0.0013764885564645116,67,0.7,9809.937681867808,0.5601547,0.10351562499999999,3.528694,5176.0,4.9279685,0.103515625,1.270112991333008,0.30463114380836487,3.605729818344116,0.96854997,0.66,1.0,34157.0
-15.745678,18.88960246438753,0.5213396,-22.412228,3.457351,0.29133454,0.35997695,-6.666552,1.3961644272009532,-1.2041769,6.89,4.829861,26.623128255208332,-0.0014165990675489102,68,0.6578947368421053,9671.476461766415,0.5950219,0.10351562499999999,3.2575316,5252.0,5.1898384,0.103515625,1.2041769226392112,0.30463114380836487,3.6586689949035645,0.9863195,0.67,1.0,34673.0
-16.313526,17.762990945512144,0.4938219,-23.083511,3.5485208,0.31739852,0.4088505,-6.7699866,1.3840383887290952,-1.1935185,6.91,5.1776667,27.623538653055828,-0.00166092657794555,69,0.6944444444444444,9094.651364102217,0.5701858,0.10546875,3.3001838,5324.0,5.5865173,0.10546875,1.193518469731013,0.3071564733982086,3.7149658203125,1.0374768,0.68,1.0,35182.0
-16.976368,18.908933530493744,0.5128442,-23.395983,3.402439,0.3229272,0.35740936,-6.419613,1.3603944977124534,-1.1521437,7.33,5.561555,24.859479427337646,-3.805259863535549e-05,70,0.782608695652174,9681.373967612797,0.60058385,0.111328125,3.1664531,5393.0,5.918964,0.111328125,1.1521437068780263,0.31453803181648254,3.767850875854492,1.0207427,0.78,1.0,35694.0
-17.521244,18.89785803754066,0.51201653,-23.763474,3.35964,0.34696743,0.5040479,-6.242229,1.3026110827922819,-1.1158315,7.32,5.8981223,23.68417453765869,-5.6603923439976084e-05,71,0.7857142857142857,9675.703315220819,0.5860734,0.123046875,3.0451767,5463.0,6.4021707,0.123046875,1.1158313949902854,0.3284910023212433,3.8207669258117676,1.0652783,0.78,1.0,36192.0
-18.174135,18.928304202825952,0.5140883,-23.565672,3.1341827,0.3576156,0.25736067,-5.3915377,1.2280962616205215,-1.0467604,7.13,6.317636,18.253501574198403,-0.00033962229887644566,72,0.75,9691.291751846888,0.62233824,0.11328125000000001,2.8185117,5535.0,6.574997,0.11328125,1.0467604597409568,0.31693628430366516,3.8735978603363037,1.0621456,0.77,1.0,36692.0
